### 报告名称
- **互联网行业可持续发展报告（2023年**）

### 报告内容
- **四个维度分析**：2022年综合实力前百家互联网企业的可持续发展/社会责任/ESG报告中的绿色低碳发展、应对气候变化等内容。

### 研究方法
- **系统性开展**：碳信息披露行业现状研究

### 图表来源
- **中国信息通信研究院整理**

### 图表标题
- **图15 碳信息各信息点披露占比**

### 图表内容
- **柱状图展示**：
  - **使命理念**：披露率最高，72.73%
  - **履责承诺**：披露率最低，13.64%
  - **管理职责与组织架构**：披露率平均，约20%

### 组织治理维度
- **关注企业宏观视角**：
  - **使命理念**：披露率最高，形式上多以开篇独立呈现，内容从关注自身减碳向赋能全社会减碳转变。
  - **履责承诺**：披露率最低，重点关注定量化披露。
  - **管理职责与组织架构**：披露率较为平均。

### 前一页内容概要
- **国际气候信息披露**：由自愿性向强制性转变，提及TCFD、SASB、GRI、CDP等框架。
- **强制性体系构建**：欧盟、日本等地逐步构建强制性气候信息披露体系。
- **碳信息披露意识提升**：近三年发布6份碳中和/低碳发展专项报告，90.91%企业披露碳信息，72.73%企业将应对气候变化作为独立板块。
- **定量数据披露**：21个信息点中6个涉及定量披露，平均披露率32.58%，两个信息点披露率达56.82%。

### 后一页内容概要
- **案例1：组织治理-使命理念**：
  - **认可主题重要作用**：应对气候变化成全球共识，响应“双碳”目标。
  - **倡导低碳发展愿景**：关注自身减碳、价值链减碳、科技赋能减碳。
- **案例2：组织治理-履责承诺**：
  - **清洁能源使用目标**：企业层面和主营业务层面的绿色电力使用比例目标。
  - **自身运营减碳目标**：预期碳中和目标，如XX年实现运营碳中和。

### 关键发现
- **互联网行业在可持续发展方面**：逐步从关注自身减碳向赋能全社会减碳转变，但中小企业在设定量化目标方面存在挑战。
